Validator,PT_VERSION,2.7.1
Validator,ROCM_VERSION,7.0.2.0-56-9428210
Validator,HIPBLASLT_VERSION,100000-20250912-42-1199-g2584e35062
Validator,GCN_ARCH_NAME,gfx942:sramecc+:xnack-
Validator,ROCBLAS_VERSION,5.0.2.20250912-42-1199-g2584e35062
GemmTunableOp_BFloat16_NT,nt_4096_512_4096_ld_4096_512_4096,Gemm_Rocblas_-621290856,0.0659513
GemmTunableOp_BFloat16_NT,nt_4096_14336_4096_ld_4096_14336_4096,Gemm_Rocblas_-621290826,0.775615
GemmTunableOp_BFloat16_NN,nn_4096_131072_4096_ld_4096_4096_4096,Gemm_Hipblaslt_181699,6.72254
GemmTunableOp_BFloat16_TN,tn_4096_4096_4096_ld_4096_4096_4096,Gemm_Hipblaslt_212133,0.228733
GemmTunableOp_BFloat16_TN,tn_512_4096_4096_ld_4096_4096_512,Gemm_Hipblaslt_208247,0.0552928
GemmTunableOp_BFloat16_NN,nn_4096_4096_512_ld_4096_512_4096,Gemm_Hipblaslt_187625,0.0509699
GemmTunableOp_BFloat16_NN,nn_4096_4096_14336_ld_4096_14336_4096,Gemm_Hipblaslt_187625,0.738422
GemmTunableOp_BFloat16_NN,nn_4096_4096_131072_ld_4096_131072_4096,Gemm_Hipblaslt_187625,6.83684
GemmTunableOp_BFloat16_TN,tn_4096_4096_4096_ld_4096_4096_4096,Gemm_Hipblaslt_212133,0.228149
GemmTunableOp_BFloat16_TN,tn_14336_4096_4096_ld_4096_4096_14336,Default,0.719167
GemmTunableOp_BFloat16_NT,nt_4096_4096_4096_ld_4096_4096_4096,Gemm_Hipblaslt_171686,0.235741
GemmTunableOp_BFloat16_NT,nt_14336_4096_4096_ld_14336_4096_14336,Gemm_Rocblas_-621290820,0.77806
GemmTunableOp_BFloat16_TN,tn_4096_4096_4096_ld_4096_4096_4096,Gemm_Hipblaslt_203134,0.234001
GemmTunableOp_BFloat16_TN,tn_4096_4096_14336_ld_14336_14336_4096,Gemm_Hipblaslt_202630,0.77748
GemmTunableOp_BFloat16_NN,nn_4096_4096_4096_ld_4096_4096_4096,Gemm_Hipblaslt_187625,0.269245
GemmTunableOp_BFloat16_NN,nn_14336_4096_4096_ld_14336_4096_14336,Gemm_Rocblas_-621284695,0.855137
GemmTunableOp_BFloat16_TN,tn_4096_4096_4096_ld_4096_4096_4096,Gemm_Hipblaslt_212133,0.227289
GemmTunableOp_BFloat16_TN,tn_131072_4096_4096_ld_4096_4096_131072,Gemm_Hipblaslt_202453,6.74549
